source,target,start,end
MrcioFe46685399,cyrusafa,2018-07-24 14:17:59,2018-07-24 14:17:59
heliacalaca,delucca,2018-07-24 14:15:56,2018-07-24 14:15:56
ziggycaca,nadanovonofront,2018-07-24 14:15:26,2018-07-24 14:15:26
rogerio_sinesio,delucca,2018-07-24 14:14:45,2018-07-24 14:14:45
LaercioJrNatal,delucca,2018-07-24 14:14:20,2018-07-24 14:14:20
Sabrinna___,cyrusafa,2018-07-24 14:12:51,2018-07-24 14:12:51
troy666_castor,cyrusafa,2018-07-24 14:12:26,2018-07-24 14:12:26
LeaoFreire,delucca,2018-07-24 14:12:23,2018-07-24 14:12:23
Minimanimog,delucca,2018-07-24 14:12:20,2018-07-24 14:12:20
veronezesr,delucca,2018-07-24 14:06:26,2018-07-24 14:06:26
File21,delucca,2018-07-24 14:05:23,2018-07-24 14:05:23
joaopelegatti,delucca,2018-07-24 14:04:49,2018-07-24 14:04:49
PauloVinicius65,ManuelaDavila,2018-07-24 14:04:04,2018-07-24 14:04:04
donajaninha,delucca,2018-07-24 14:03:16,2018-07-24 14:03:16
josedemelo,delucca,2018-07-24 14:02:40,2018-07-24 14:02:40
SHOCK1805,cyrusafa,2018-07-24 14:02:12,2018-07-24 14:02:12
realganjagirl_,delucca,2018-07-24 14:01:20,2018-07-24 14:01:20
Carla02235606,delucca,2018-07-24 14:01:08,2018-07-24 14:01:08
julisalgueiro,delucca,2018-07-24 14:00:37,2018-07-24 14:00:37
anareginafv,igorteixeira,2018-07-24 13:59:03,2018-07-24 13:59:03
GustavoGugaLins,delucca,2018-07-24 13:56:41,2018-07-24 13:56:41
Thiago_Dodo,delucca,2018-07-24 13:55:26,2018-07-24 13:55:26
AnaLuciaNeves7,delucca,2018-07-24 13:54:32,2018-07-24 13:54:32
_jamesrusso,cyrusafa,2018-07-24 13:54:23,2018-07-24 13:54:23
Mirelacastreis,delucca,2018-07-24 13:53:19,2018-07-24 13:53:19
trajanojorge,cyrusafa,2018-07-24 13:53:14,2018-07-24 13:53:14
paneleirotriste,cyrusafa,2018-07-24 13:52:15,2018-07-24 13:52:15
FernandoCesar77,cyrusafa,2018-07-24 13:52:13,2018-07-24 13:52:13
elder_franca,bchavesjv,2018-07-24 13:50:20,2018-07-24 13:50:20
madeindreams,delucca,2018-07-24 13:50:10,2018-07-24 13:50:10
biscoitocanibal,cyrusafa,2018-07-24 13:48:20,2018-07-24 13:48:20
Rosana10,cyrusafa,2018-07-24 13:46:34,2018-07-24 13:46:34
mluciares,delucca,2018-07-24 13:45:39,2018-07-24 13:45:39
douglasrafaelJS,delucca,2018-07-24 13:44:58,2018-07-24 13:44:58
FernandoCesar77,delucca,2018-07-24 13:44:53,2018-07-24 13:44:53
derMutteralle,delucca,2018-07-24 13:44:14,2018-07-24 13:44:14
CahiqueForte,delucca,2018-07-24 13:43:25,2018-07-24 13:43:25
msalmeida74,cakiozz,2018-07-24 13:42:41,2018-07-24 13:42:41
lilaoliv,cyrusafa,2018-07-24 13:42:04,2018-07-24 13:42:04
paneleirotriste,cyrusafa,2018-07-24 13:41:37,2018-07-24 13:41:37
JeanCar22314751,delucca,2018-07-24 13:40:51,2018-07-24 13:40:51
PrfHudsonCampos,delucca,2018-07-24 13:40:39,2018-07-24 13:40:39
monicademoraes,delucca,2018-07-24 13:40:10,2018-07-24 13:40:10
natanae66243438,jaqueswagner,2018-07-24 13:40:04,2018-07-24 13:40:04
junia26,delucca,2018-07-24 13:39:21,2018-07-24 13:39:21
bmellolanco,delucca,2018-07-24 13:38:11,2018-07-24 13:38:11
natanae66243438,delucca,2018-07-24 13:36:58,2018-07-24 13:36:58
bobjackk,delucca,2018-07-24 13:36:44,2018-07-24 13:36:44
MagraoMG,cyrusafa,2018-07-24 13:34:39,2018-07-24 13:34:39
leonirsantini,jaqueswagner,2018-07-24 13:34:08,2018-07-24 13:34:08
RobertoLauria,delucca,2018-07-24 13:32:26,2018-07-24 13:32:26
ArturBellini1,delucca,2018-07-24 13:32:16,2018-07-24 13:32:16
parafrentebrasi,delucca,2018-07-24 13:30:58,2018-07-24 13:30:58
thuintter,IgorDrumond,2018-07-24 13:30:28,2018-07-24 13:30:28
MarcelloP10,delucca,2018-07-24 13:29:56,2018-07-24 13:29:56
0lucasnegrao,delucca,2018-07-24 13:29:39,2018-07-24 13:29:39
Camilasuzan,delucca,2018-07-24 13:28:37,2018-07-24 13:28:37
paulomuchon,delucca,2018-07-24 13:27:45,2018-07-24 13:27:45
DawkinsRush,delucca,2018-07-24 13:27:24,2018-07-24 13:27:24
Diogo_Travassos,delucca,2018-07-24 13:27:00,2018-07-24 13:27:00
odio_nao,IgorDrumond,2018-07-24 13:26:58,2018-07-24 13:26:58
ernani_neto,jaqueswagner,2018-07-24 13:26:26,2018-07-24 13:26:26
Jonas___A,cyrusafa,2018-07-24 13:25:37,2018-07-24 13:25:37
guedes_irani,delucca,2018-07-24 13:25:15,2018-07-24 13:25:15
kazzttor,delucca,2018-07-24 13:24:55,2018-07-24 13:24:55
WSkika,delucca,2018-07-24 13:24:18,2018-07-24 13:24:18
kazzttor,cyrusafa,2018-07-24 13:24:07,2018-07-24 13:24:07
EdithMagalhaes,delucca,2018-07-24 13:24:06,2018-07-24 13:24:06
phiinstituto,delucca,2018-07-24 13:23:27,2018-07-24 13:23:27
rsgomes1971,delucca,2018-07-24 13:22:48,2018-07-24 13:22:48
Antoniobarbozas,delucca,2018-07-24 13:22:48,2018-07-24 13:22:48
VictorCarloto,delucca,2018-07-24 13:22:39,2018-07-24 13:22:39
CristiMcNichol,delucca,2018-07-24 13:21:10,2018-07-24 13:21:10
lisateles72,delucca,2018-07-24 13:20:51,2018-07-24 13:20:51
andbvieira,delucca,2018-07-24 13:20:17,2018-07-24 13:20:17
lisateles72,delucca,2018-07-24 13:20:08,2018-07-24 13:20:08
juribgra,delucca,2018-07-24 13:19:40,2018-07-24 13:19:40
Sanoinstrutor,cyrusafa,2018-07-24 13:18:44,2018-07-24 13:18:44
AndraCristiane2,delucca,2018-07-24 13:17:42,2018-07-24 13:17:42
tizquadros,delucca,2018-07-24 13:16:44,2018-07-24 13:16:44
lisateles72,delucca,2018-07-24 13:16:24,2018-07-24 13:16:24
mtitoalmeida,delucca,2018-07-24 13:15:54,2018-07-24 13:15:54
twistweb,delucca,2018-07-24 13:14:11,2018-07-24 13:14:11
nirdaportella,delucca,2018-07-24 13:13:54,2018-07-24 13:13:54
odio_nao,delucca,2018-07-24 13:13:19,2018-07-24 13:13:19
everaldogouveia,jaqueswagner,2018-07-24 13:11:28,2018-07-24 13:11:28
lulafreire,delucca,2018-07-24 13:10:48,2018-07-24 13:10:48
pcostafloripa,delucca,2018-07-24 13:10:17,2018-07-24 13:10:17
agf_alexandre,cyrusafa,2018-07-24 13:08:40,2018-07-24 13:08:40
MoondogZ,delucca,2018-07-24 13:07:26,2018-07-24 13:07:26
UsielRios,delucca,2018-07-24 13:05:56,2018-07-24 13:05:56
anascatone,MarciNog,2018-07-24 13:05:28,2018-07-24 13:05:28
PedroGuaranho,delucca,2018-07-24 13:05:08,2018-07-24 13:05:08
Austregsilo1,brunoarossato,2018-07-24 13:04:53,2018-07-24 13:04:53
PedroGuaranho,delucca,2018-07-24 13:03:55,2018-07-24 13:03:55
opauloribeiro_,MulherTamarindo,2018-07-24 13:03:10,2018-07-24 13:03:10
mrsmorningstar7,delucca,2018-07-24 13:02:45,2018-07-24 13:02:45
twistweb,cyrusafa,2018-07-24 13:02:35,2018-07-24 13:02:35
PedroGuaranho,delucca,2018-07-24 13:02:29,2018-07-24 13:02:29
BleyLacerda,MarciNog,2018-07-24 13:02:16,2018-07-24 13:02:16
JJDSRicardo,MarciNog,2018-07-24 13:01:44,2018-07-24 13:01:44
lorenzoxmartins,cyrusafa,2018-07-24 13:01:16,2018-07-24 13:01:16
fabiocamargo,delucca,2018-07-24 13:00:52,2018-07-24 13:00:52
